Epoch,step,lr,loss,acc
1,0,0.0005,184.981,0.0613505747126
1,102400,0.0005,3.25924,0.170402298851
1,204800,0.0005,2.88916,0.357614942666
2,0,0.0005,2.50783,0.468534482759
2,102400,0.0005,2.18752,0.578879310482
2,204800,0.0005,1.39987,0.768821839217
3,0,0.0005,0.824374,0.912356321839
3,102400,0.0005,0.436031,0.94367816092
3,204800,0.0005,0.365149,0.956752873563
4,0,0.0005,0.295384,0.962787356322
4,102400,0.0005,0.297467,0.963936781609
4,204800,0.0005,0.252868,0.965804597701
5,0,0.0005,0.18938,0.970114942529
5,102400,0.0005,0.245636,0.969252873563
5,204800,0.0005,0.222137,0.970689655172
6,0,0.0004,0.289113,0.971408045977
6,102400,0.0004,0.118346,0.973706896552
6,204800,0.0004,0.197408,0.974137931034
7,0,0.0004,0.239557,0.970114942529
7,102400,0.0004,0.330013,0.974137931034
7,204800,0.0004,0.238733,0.974137931034
8,0,0.0004,0.257291,0.97341954023
8,102400,0.0004,0.176458,0.973132183908
8,204800,0.0004,0.299333,0.974856321839
9,0,0.0004,0.127687,0.974856321839
9,102400,0.0004,0.233141,0.974281609195
9,204800,0.0004,0.172938,0.975718390805
10,0,0.0004,0.232548,0.977298850575
10,102400,0.0004,0.163483,0.976293103448
10,204800,0.0004,0.16627,0.977442528736
11,0,0.00032,0.142258,0.974425287356
11,102400,0.00032,0.202283,0.976436781609
11,204800,0.00032,0.118443,0.975287356322
12,0,0.00032,0.106408,0.974712643678
12,102400,0.00032,0.246491,0.978017241379
12,204800,0.00032,0.258962,0.975862068966
13,0,0.00032,0.179874,0.975431034483
13,102400,0.00032,0.092613,0.975574712644
13,204800,0.00032,0.217849,0.976293103448
14,0,0.00032,0.15675,0.976436781609
14,102400,0.00032,0.380386,0.976005747126
14,204800,0.00032,0.123771,0.976293103448
15,0,0.00032,0.299887,0.976005747126
15,102400,0.00032,0.231191,0.975287356322
15,204800,0.00032,0.253852,0.976149425287
